[126/720] dj_14_fake_fez seed=6 n*=450  (0.3s, ~2 min left)
[127/720] dj_14_fake_fez seed=7 n*=500  (0.3s, ~2 min left)
[128/720] dj_14_fake_fez seed=8 n*=300  (0.3s, ~2 min left)
[129/720] dj_14_fake_fez seed=9 n*=350  (0.3s, ~2 min left)
[130/720] dj_14_fake_fez seed=10 n*=450  (0.3s, ~2 min left)
[131/720] dj_14_fake_fez seed=11 n*=350  (0.3s, ~2 min left)
[132/720] dj_14_fake_fez seed=12 n*=400  (0.3s, ~2 min left)
[133/720] dj_14_fake_fez seed=13 n*=600  (0.3s, ~2 min left)
[134/720] dj_14_fake_fez seed=14 n*=400  (0.3s, ~2 min left)
[135/720] dj_14_fake_fez seed=15 n*=550  (0.3s, ~2 min left)
[136/720] dj_14_fake_fez seed=16 n*=300  (0.3s, ~2 min left)
[137/720] dj_14_fake_fez seed=17 n*=350  (0.4s, ~2 min left)
[138/720] dj_14_fake_fez seed=18 n*=250  (0.3s, ~2 min left)
[139/720] dj_14_fake_fez seed=19 n*=300  (0.4s, ~2 min left)
[140/720] dj_14_fake_fez seed=20 n*=400  (0.3s, ~2 min left)
[141/720] dj_14_fake_marrakesh seed=1 n*=300  (0.3s, ~2 min left)
[142/720] dj_14_fake_marrakesh seed=2 n*=150  (0.3s, ~2 min left)
[143/720] dj_14_fake_marrakesh seed=3 n*=300  (0.3s, ~2 min left)
[144/720] dj_14_fake_marrakesh seed=4 n*=300  (0.3s, ~2 min left)
[145/720] dj_14_fake_marrakesh seed=5 n*=300  (0.3s, ~2 min left)
[146/720] dj_14_fake_marrakesh seed=6 n*=350  (0.3s, ~2 min left)
[147/720] dj_14_fake_marrakesh seed=7 n*=250  (0.3s, ~2 min left)
[148/720] dj_14_fake_marrakesh seed=8 n*=200  (0.3s, ~2 min left)
[149/720] dj_14_fake_marrakesh seed=9 n*=400  (0.3s, ~2 min left)
[150/720] dj_14_fake_marrakesh seed=10 n*=200  (0.3s, ~2 min left)
[151/720] dj_14_fake_marrakesh seed=11 n*=200  (0.3s, ~2 min left)
[152/720] dj_14_fake_marrakesh seed=12 n*=200  (0.3s, ~2 min left)
[153/720] dj_14_fake_marrakesh seed=13 n*=150  (0.3s, ~2 min left)
[154/720] dj_14_fake_marrakesh seed=14 n*=150  (0.3s, ~2 min left)
[155/720] dj_14_fake_marrakesh seed=15 n*=400  (0.3s, ~2 min left)
[156/720] dj_14_fake_marrakesh seed=16 n*=550  (0.3s, ~2 min left)
[157/720] dj_14_fake_marrakesh seed=17 n*=300  (0.3s, ~2 min left)
