algorithm,size,backend,seed,n_star
random,12,fake_fez,11,14800
random,12,fake_fez,12,14800
random,12,fake_fez,13,15300
random,12,fake_fez,14,14700
random,12,fake_fez,15,15050
random,12,fake_fez,16,15000
random,12,fake_fez,17,14900
random,12,fake_fez,18,14400
random,12,fake_fez,19,15250
random,12,fake_fez,20,14600
random,14,fake_fez,1,17400
random,14,fake_fez,2,17250
random,14,fake_fez,3,17200
random,14,fake_fez,4,17250
random,14,fake_fez,5,17450
random,14,fake_fez,6,17250
random,14,fake_fez,7,17350
random,14,fake_fez,8,17350
random,14,fake_fez,9,17450
random,14,fake_fez,10,17500
random,14,fake_fez,11,17350
random,14,fake_fez,12,17250
random,14,fake_fez,13,17300
random,14,fake_fez,14,17500
random,14,fake_fez,15,17350
random,14,fake_fez,16,17200
random,14,fake_fez,17,17400
random,14,fake_fez,18,17450
random,14,fake_fez,19,17450
random,14,fake_fez,20,17250
vqe,6,fake_kyiv,1,50
vqe,6,fake_kyiv,2,50
vqe,6,fake_kyiv,3,50
vqe,6,fake_kyiv,4,50
vqe,6,fake_kyiv,5,50
vqe,6,fake_kyiv,6,100
vqe,6,fake_kyiv,7,100
vqe,6,fake_kyiv,8,50
vqe,6,fake_kyiv,9,50
vqe,6,fake_kyiv,10,50
vqe,6,fake_kyiv,11,100
vqe,6,fake_kyiv,12,50
vqe,6,fake_kyiv,13,50
vqe,6,fake_kyiv,14,50
vqe,6,fake_kyiv,15,100
vqe,6,fake_kyiv,16,100
vqe,6,fake_kyiv,17,50
vqe,6,fake_kyiv,18,50
vqe,6,fake_kyiv,19,50
vqe,6,fake_kyiv,20,50
vqe,8,fake_kyiv,1,200
vqe,8,fake_kyiv,2,300
vqe,8,fake_kyiv,3,150
vqe,8,fake_kyiv,4,300
vqe,8,fake_kyiv,5,150
vqe,8,fake_kyiv,6,250
vqe,8,fake_kyiv,7,250
vqe,8,fake_kyiv,8,400
vqe,8,fake_kyiv,9,200
vqe,8,fake_kyiv,10,350
vqe,8,fake_kyiv,11,250
vqe,8,fake_kyiv,12,200
vqe,8,fake_kyiv,13,150
vqe,8,fake_kyiv,14,400
vqe,8,fake_kyiv,15,300
vqe,8,fake_kyiv,16,300
vqe,8,fake_kyiv,17,200
vqe,8,fake_kyiv,18,200
vqe,8,fake_kyiv,19,250
vqe,8,fake_kyiv,20,200
vqe,12,fake_kyiv,1,1150
vqe,12,fake_kyiv,2,450
vqe,12,fake_kyiv,3,900
vqe,12,fake_kyiv,4,850
vqe,12,fake_kyiv,5,800
vqe,12,fake_kyiv,6,1050
vqe,12,fake_kyiv,7,550
vqe,12,fake_kyiv,8,550
vqe,12,fake_kyiv,9,600
vqe,12,fake_kyiv,10,750
vqe,12,fake_kyiv,11,800
vqe,12,fake_kyiv,12,700
vqe,12,fake_kyiv,13,700
vqe,12,fake_kyiv,14,550
vqe,12,fake_kyiv,15,650
vqe,12,fake_kyiv,16,650
