algorithm,size,backend,oracle_shots,epsilon,batch
qaoa,11,fake_fez,5600,0.1,50
qaoa,11,fake_kyiv,7500,0.1,50
qaoa,11,fake_marrakesh,5050,0.1,50
qaoa,11,fake_sherbrooke,6900,0.1,50
qaoa,11,fake_torino,7200,0.1,50
qaoa,12,aer_simulator,4600,0.1,50
qaoa,12,fake_fez,7550,0.1,50
qaoa,12,fake_kyiv,10300,0.1,50
qaoa,12,fake_sherbrooke,9850,0.1,50
qaoa,12,fake_torino,9350,0.1,50
qaoa,13,aer_simulator,6350,0.1,50
qaoa,13,fake_fez,10450,0.1,50
qaoa,13,fake_kyiv,13100,0.1,50
qaoa,13,fake_marrakesh,10450,0.1,50
qaoa,13,fake_sherbrooke,12350,0.1,50
qaoa,13,fake_torino,12150,0.1,50
qaoa,14,aer_simulator,3250,0.1,50
qaoa,14,fake_fez,9000,0.1,50
qaoa,14,fake_marrakesh,8650,0.1,50
qaoa,14,fake_torino,11850,0.1,50
qaoa,15,aer_simulator,10200,0.1,50
qaoa,15,fake_fez,14200,0.1,50
qaoa,15,fake_kyiv,15950,0.1,50
qaoa,15,fake_marrakesh,13500,0.1,50
qaoa,15,fake_sherbrooke,15500,0.1,50
qaoa,15,fake_torino,15250,0.1,50
qft,4,aer_simulator,500,0.1,50
qft,4,fake_fez,250,0.1,50
qft,4,fake_kyiv,350,0.1,50
qft,4,fake_marrakesh,250,0.1,50
qft,4,fake_sherbrooke,150,0.1,50
qft,4,fake_torino,250,0.1,50
qft,5,aer_simulator,550,0.1,50
qft,5,fake_fez,600,0.1,50
qft,5,fake_kyiv,600,0.1,50
qft,5,fake_marrakesh,500,0.1,50
qft,5,fake_sherbrooke,550,0.1,50
qft,5,fake_torino,450,0.1,50
qft,6,aer_simulator,1200,0.1,50
qft,6,fake_kyiv,850,0.1,50
qft,6,fake_marrakesh,950,0.1,50
qft,6,fake_sherbrooke,1000,0.1,50
qft,7,aer_simulator,2200,0.1,50
qft,7,fake_fez,1450,0.1,50
qft,7,fake_kyiv,2200,0.1,50
qft,7,fake_marrakesh,1750,0.1,50
qft,7,fake_sherbrooke,1800,0.1,50
qft,7,fake_torino,2350,0.1,50
qft,8,aer_simulator,3600,0.1,50
qft,8,fake_kyiv,3250,0.1,50
